candid_name	candid_surname	term_1994	list_id_1994	list_name_1994	candid_num_1994	candid_title_1994	candid_age_1994	party_abb_1994	aff_abb_1994	votes_num_1994	votes_share_1994	candid_order_1994	candid_seat_1994	term_1998	list_id_1998	list_name_1998	candid_num_1998	candid_title_1998	candid_age_1998	party_abb_1998	aff_abb_1998	votes_num_1998	votes_share_1998	candid_order_1998	candid_seat_1998	term_2002	list_id_2002	list_name_2002	candid_num_2002	candid_title_2002	candid_age_2002	party_abb_2002	aff_abb_2002	votes_num_2002	votes_share_2002	candid_order_2002	candid_seat_2002	term_2006	list_id_2006	list_name_2006	candid_num_2006	candid_title_2006	candid_age_2006	party_abb_2006	aff_abb_2006	votes_num_2006	votes_share_2006	candid_order_2006	candid_seat_2006	term_2010	list_id_2010	list_name_2010	candid_num_2010	candid_title_2010	candid_age_2010	party_abb_2010	aff_abb_2010	votes_num_2010	votes_share_2010	candid_order_2010	candid_seat_2010
Jaroslava	Brabcov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	3	Sdruû.nez·v.kand.-mÌst.celkem	6		43	NK	NEZ	8	3.65	5		2002	5	SNK - MalenickÈ ûeny	5		47	NK	BEZPP	4	2.72	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jaroslava	HoleËkov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	1	ObËansk· demokratick· strana	8		35	ODS	NEZ	25	3.64	6		2002	4	ObËansk· demokratick· strana	9		39	ODS	BEZPP	36	5.64	7		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	5	ObËansk· demokratick· strana	9		47	ODS	BEZPP	33	7,95	8	-
Jind¯ich	Hrab·k	1994	4	Komunistick· str.»ech a Moravy	5		53	KS»M	KS»M	51	7.43	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jind¯ich	Jind¯ich	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	2	Sdruû.nez·v.kand.-mÌst.celkem	1		24	NK	NEZ	41	21.13	1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ji¯Ì	Furbach	1994	4	Komunistick· str.»ech a Moravy	6		38	KS»M	BEZPP	55	8.1	4		1998	4	Komunistick· str.»ech a Moravy	5		42	KS»M	NEZ	37	6.65	4		2002	2	Komunistick· str.»ech a Moravy	7		46	KS»M	BEZPP	8	1.76	7		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	1	Komunistick· str.»ech a Moravy	3		54	KS»M	BEZPP	26	6,71	3	-
Ji¯Ì	Kov·¯	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	1	K¯esù.demokr.unie-»s.str.lid.	8		31	KDU-»SL	KDU-»SL	55	4,18	3	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ji¯Ì	Kraj·nek	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	1	ObËansk· demokratick· strana	9		34	ODS	NEZ	65	9.48	7		2002	3	SdruûenÌ nez·visl˝ch kandid·t˘	9		38	NK	BEZPP	92	16.5	2	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ji¯Ì	Liöka	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	4	ObËansk· demokratick· strana	2	Ing.†	42	ODS	BEZPP	86	13.47	2		2006	3	ObËansk· demokratick· strana	2	Ing.	46	ODS	BEZPP	98	11,22	1	-	2010	2	TOP 09	6	Ing.	50	TOP 09	BEZPP	79	8,2	2	-
Ji¯Ì	Marouöek	1994	3	K¯esù.a dem.unie-»s.str.lidov·	5		36	KDU-»SL	BEZPP	114	11.77	2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	1	K¯esù.demokr.unie-»s.str.lid.	4		44	KDU-»SL	BEZPP	110	9.67	4	*	2006	1	K¯esù.demokr.unie-»s.str.lid.	6		48	KDU-»SL	BEZPP	129	9,81	1	-	2010	3	K¯esù.demokr.unie-»s.str.lid.	7		52	KDU-»SL	BEZPP	51	10,09	5	-
Ji¯Ì	Marö·k	1994	3	K¯esù.a dem.unie-»s.str.lidov·	7		33	KDU-»SL	BEZPP	83	8.57	4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	1	K¯esù.demokr.unie-»s.str.lid.	7		45	KDU-»SL	BEZPP	116	8,82	2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ji¯Ì	Mr·z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	2	Sdruû.nez·v.kand.-mÌst.celkem	4		24	NK	NEZ	21	10.82	3		2002	3	SdruûenÌ nez·visl˝ch kandid·t˘	2		27	NK	BEZPP	58	10.12	4		2006	3	ObËansk· demokratick· strana	7		31	ODS	BEZPP	70	8,01	4	-	2010	5	ObËansk· demokratick· strana	5		35	ODS	BEZPP	56	13,49	3	-
Ji¯Ì	Piln˝	1994	3	K¯esù.a dem.unie-»s.str.lidov·	8		63	KDU-»SL	BEZPP	48	4.95	5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ji¯Ì Tade·ö	Pelech	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	4	Sdruû.nez·v.kand. Malenice	2		43	NK	BEZPP	11	2,8	4	-
Josef	Bedna¯Ìk	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	1	K¯esù.demokr.unie-»s.str.lid.	3		33	KDU-»SL	BEZPP	121	10.64	3	*	2006	1	K¯esù.demokr.unie-»s.str.lid.	3		37	KDU-»SL	BEZPP	151	11,49	5	*	2010	3	K¯esù.demokr.unie-»s.str.lid.	2		41	KDU-»SL	BEZPP	70	13,86	1	-
Josef	Blahovec	1994	3	K¯esù.a dem.unie-»s.str.lidov·	1		44	KDU-»SL	KDU-»SL	195	20.14	1	*	1998	5	K¯esù.demokr.unie-»s.str.lid.	1		48	KDU-»SL	KDU-»SL	220	23.86	1	*	2002	1	K¯esù.demokr.unie-»s.str.lid.	1		52	KDU-»SL	KDU-»SL	249	21.89	1	*	2006	1	K¯esù.demokr.unie-»s.str.lid.	1		56	KDU-»SL	KDU-»SL	241	18,34	1	*	2010	2	TOP 09	1		60	TOP 09	TOP 09	220	22,84	1	*
Josef	Frk	1994	4	Komunistick· str.»ech a Moravy	2		46	KS»M	KS»M	150	21.86	1	*	1998	4	Komunistick· str.»ech a Moravy	2		50	KS»M	KS»M	132	23.74	1	*	2002	2	Komunistick· str.»ech a Moravy	1		54	KS»M	KS»M	128	28.25	1	*	2006	2	Komunistick· str.»ech a Moravy	1		58	KS»M	BEZPP	135	37,92	1	*	2010	1	Komunistick· str.»ech a Moravy	1		62	KS»M	BEZPP	141	36,43	1	*
Josef	Narovec	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	2	Sdruû.nez·v.kand.-mÌst.celkem	6		26	NK	NEZ	15	7.73	5		2002	3	SdruûenÌ nez·visl˝ch kandid·t˘	7		30	NK	BEZPP	35	6.1	6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
