"candid_surname"	"candid_name"	"term_1994"	"list_id_1994"	"list_name_1994"	"candid_num_1994"	"candid_title_1994"	"candid_age_1994"	"party_abb_1994"	"aff_abb_1994"	"votes_num_1994"	"votes_share_1994"	"candid_order_1994"	"candid_seat_1994"	"term_1998"	"list_id_1998"	"list_name_1998"	"candid_num_1998"	"candid_title_1998"	"candid_age_1998"	"party_abb_1998"	"aff_abb_1998"	"votes_num_1998"	"votes_share_1998"	"candid_order_1998"	"candid_seat_1998"	"term_2002"	"list_id_2002"	"list_name_2002"	"candid_num_2002"	"candid_title_2002"	"candid_age_2002"	"party_abb_2002"	"aff_abb_2002"	"votes_num_2002"	"votes_share_2002"	"candid_order_2002"	"candid_seat_2002"	"NA"	"term_2006"	"list_id_2006"	"list_name_2006"	"candid_num_2006"	"candid_title_2006"	"candid_age_2006"	"party_abb_2006"	"aff_abb_2006"	"votes_num_2006"	"votes_share_2006"	"candid_order_2006"	"candid_seat_2006"	"term_2010"	"list_id_2010"	"list_name_2010"	"candid_num_2010"	"candid_title_2010"	"candid_age_2010"	"party_abb_2010"	"aff_abb_2010"	"votes_num_2010"	"votes_share_2010"	"candid_order_2010"	"candid_seat_2010"
"17"	"Kastner"	"Jiøí"	1994	3	"Komunistická str.Èech a Moravy"	5	""	38	"KSÈM"	"KSÈM"	63	6.75	4	""	1998	2	"Komunistická str.Èech a Moravy"	5	""	42	"KSÈM"	"KSÈM"	61	8.29	4	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	"Kašperský"	"Jaromír"	1994	1	"Sdružení nezávislých kandidátù"	6	""	70	"NK"	"BEZPP"	40	4.52	5	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"19"	"Kettner"	"Libor"	1994	2	"Sdružení nezávislých kandidátù"	3	""	36	"NK"	"BEZPP"	290	10.52	4	"*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	3	"Budoucnost pro Pøílepy"	4	""	44	"NK"	"BEZPP"	160	11.1	2	""	NA	2006	2	"Sdruž.nezáv.kand.: PRO Pøílepy"	7	""	48	"NK"	"BEZPP"	465	"11,19"	"1"	"-"	2010	3	"PRO Pøílepy"	8	""	52	"NK"	"BEZPP"	306	"10,33"	5	"-"
"20"	"Kostiha"	"Ivo"	1994	2	"Sdružení nezávislých kandidátù"	11	"Ing. "	39	"NK"	"BEZPP"	239	8.67	4	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	"Kouba"	"Václav"	1994	3	"Komunistická str.Èech a Moravy"	1	"JUDr. "	61	"KSÈM"	"KSÈM"	116	12.44	1	""	1998	2	"Komunistická str.Èech a Moravy"	8	""	65	"KSÈM"	"KSÈM"	78	10.61	7	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"22"	"Krákora"	"Milan"	1994	1	"Sdružení nezávislých kandidátù"	2	""	37	"NK"	"BEZPP"	59	6.67	4	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	"Krásný"	"Bohuslav"	1994	1	"Sdružení nezávislých kandidátù"	3	""	59	"NK"	"BEZPP"	94	10.63	2	""	1998	2	"Komunistická str.Èech a Moravy"	6	""	63	"KSÈM"	"BEZPP"	86	11.7	5	""	2002	2	"Komunistická str.Èech a Moravy"	7	""	67	"KSÈM"	"BEZPP"	59	11.8	6	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"24"	"Mach"	"Martin"	1994	1	"Sdružení nezávislých kandidátù"	8	""	35	"NK"	"BEZPP"	52	5.88	6	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25"	"Papírník"	"Emanuel"	1994	3	"Komunistická str.Èech a Moravy"	2	""	54	"KSÈM"	"BEZPP"	91	9.76	3	""	1998	2	"Komunistická str.Èech a Moravy"	1	""	58	"KSÈM"	"BEZPP"	93	12.65	2	"*"	2002	2	"Komunistická str.Èech a Moravy"	1	""	62	"KSÈM"	"BEZPP"	78	15.6	1	"*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"26"	"Papírník"	"Eman"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	1	"Komunistická str.Èech a Moravy"	3	""	66	"KSÈM"	"BEZPP"	72	"22,64"	"-"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"27"	"Øepka"	"Jaroslav"	1994	2	"Sdružení nezávislých kandidátù"	8	""	67	"NK"	"BEZPP"	230	8.34	2	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"28"	"Øíha"	"Jiøí"	1994	2	"Sdružení nezávislých kandidátù"	2	""	36	"NK"	"BEZPP"	255	9.25	5	"*"	1998	1	"Sdruž.nezáv.kand.-míst.celkem"	1	""	40	"NK"	"BEZPP"	270	11.13	1	"*"	2002	1	"Sdruž.nezáv.kand.I."	1	""	44	"NK"	"BEZPP"	272	14.32	1	"*"	NA	2006	3	"Sdruž.nez.kand.Velké Pøílepy I"	1	""	48	"NK"	"BEZPP"	272	"13,37"	"2"	"*"	2010	1	"\"Naše Velké Pøílepy o.s.\""	3	""	52	"NK"	"BEZPP"	267	"12,69"	2	"*"
"29"	"Švarc"	"Josef"	1994	3	"Komunistická str.Èech a Moravy"	3	""	46	"KSÈM"	"KSÈM"	119	12.76	2	"*"	1998	2	"Komunistická str.Èech a Moravy"	3	""	50	"KSÈM"	"KSÈM"	104	14.14	1	"*"	2002	2	"Komunistická str.Èech a Moravy"	6	""	54	"KSÈM"	"KSÈM"	77	15.4	1	""	NA	2006	1	"Komunistická str.Èech a Moravy"	2	""	58	"KSÈM"	"KSÈM"	66	"20,75"	"-"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30"	"Švec"	"Pavel"	1994	3	"Komunistická str.Èech a Moravy"	4	""	52	"KSÈM"	"KSÈM"	97	10.4	2	""	1998	2	"Komunistická str.Èech a Moravy"	7	""	56	"KSÈM"	"KSÈM"	72	9.79	6	""	2002	2	"Komunistická str.Èech a Moravy"	2	""	60	"KSÈM"	"KSÈM"	75	15	2	""	NA	2006	1	"Komunistická str.Èech a Moravy"	4	""	64	"KSÈM"	"KSÈM"	51	"16,03"	"-"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"31"	"Valenta"	"Miloslav"	1994	2	"Sdružení nezávislých kandidátù"	5	"Ing. "	40	"NK"	"BEZPP"	223	8.9	6	"*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"32"	"Valenta"	"Miroslav"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	1	"Sdruž.nezáv.kand.-míst.celkem"	6	"Ing. "	44	"NK"	"BEZPP"	238	9.81	6	"*"	2002	1	"Sdruž.nezáv.kand.I."	9	"Ing. "	48	"NK"	"BEZPP"	184	9.68	4	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	"Vichra"	"Jan"	1994	2	"Sdružení nezávislých kandidátù"	4	"Mgr. "	26	"NK"	"BEZPP"	292	10.59	2	"*"	1998	1	"Sdruž.nezáv.kand.-míst.celkem"	3	"Mgr. "	30	"NK"	"BEZPP"	294	12.12	3	"*"	2002	1	"Sdruž.nezáv.kand.I."	2	"Mgr. "	34	"NK"	"BEZPP"	246	12.95	2	"*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"34"	"Zavázalová"	"Karla"	1994	2	"Sdružení nezávislých kandidátù"	10	""	44	"NK"	"BEZPP"	192	6.96	3	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	"Zrùbecký"	"Pavel"	1994	1	"Sdružení nezávislých kandidátù"	4	""	33	"NK"	"BEZPP"	116	13.12	2	"*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"36"	"Fischerová"	"Josefa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	2	"Komunistická str.Èech a Moravy"	2	""	50	"KSÈM"	"KSÈM"	80	10.88	2	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"37"	"Laznová"	"Ludmila"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	1	"Sdruž.nezáv.kand.-míst.celkem"	7	"Ing. "	47	"NK"	"BEZPP"	262	10.8	7	"*"	2002	3	"Budoucnost pro Pøílepy"	2	"Ing. "	51	"NK"	"BEZPP"	180	12.38	2	"*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	"Mašek"	"Antonín"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	1	"Sdruž.nezáv.kand.-míst.celkem"	4	""	54	"NK"	"BEZPP"	283	11.67	4	"*"	2002	1	"Sdruž.nezáv.kand.I."	3	""	58	"NK"	"BEZPP"	205	10.79	3	"*"	NA	2006	3	"Sdruž.nez.kand.Velké Pøílepy I"	3	""	62	"NK"	"BEZPP"	231	"11,36"	"1"	"-"	2010	1	"\"Naše Velké Pøílepy o.s.\""	7	""	66	"NK"	"BEZPP"	236	"11,22"	5	"-"
"39"	"Procházka"	"Zdenìk"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	2	"Komunistická str.Èech a Moravy"	9	""	61	"KSÈM"	"BEZPP"	90	12.24	1	""	2002	2	"Komunistická str.Èech a Moravy"	4	""	65	"KSÈM"	"BEZPP"	58	11.6	4	""	NA	2006	1	"Komunistická str.Èech a Moravy"	6	""	69	"KSÈM"	"BEZPP"	39	"12,26"	"-"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	"Øíèaøová"	"Pavla"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	1	"Sdruž.nezáv.kand.-míst.celkem"	9	""	40	"NK"	"BEZPP"	240	9.9	2	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	"Bazger"	"Jaroslav"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	3	"Budoucnost pro Pøílepy"	9	""	38	"NK"	"BEZPP"	134	9.22	6	""	NA	2006	3	"Sdruž.nez.kand.Velké Pøílepy I"	6	""	42	"NK"	"BEZPP"	221	"10,87"	"3"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"42"	"Buchnarová"	"Lidmila"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	3	"Budoucnost pro Pøílepy"	6	""	51	"NK"	"BEZPP"	200	13.76	1	"*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"43"	"Ebr"	"Zdenìk"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	1	"Sdruž.nezáv.kand.I."	7	""	33	"NK"	"BEZPP"	213	11.21	2	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"44"	"Goèová"	"Ivana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	3	"Budoucnost pro Pøílepy"	8	"Mgr. "	39	"NK"	"BEZPP"	164	11.28	5	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"45"	"Kalièiak"	"Ján"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	2	"Komunistická str.Èech a Moravy"	8	""	42	"KSÈM"	"BEZPP"	31	6.2	7	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"46"	"Kamenárová"	"Hana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	2	"Komunistická str.Èech a Moravy"	3	""	38	"KSÈM"	"BEZPP"	38	7.6	3	""	NA	2006	1	"Komunistická str.Èech a Moravy"	1	""	42	"KSÈM"	"BEZPP"	64	"20,12"	"-"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"47"	"Kostihová"	"Jitka"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	1	"Sdruž.nezáv.kand.I."	8	""	45	"NK"	"BEZPP"	192	10.11	3	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"48"	"Koubová"	"Augusta"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	2	"Komunistická str.Èech a Moravy"	5	""	67	"KSÈM"	"KSÈM"	44	8.8	5	""	NA	2006	1	"Komunistická str.Èech a Moravy"	5	""	71	"KSÈM"	"KSÈM"	26	"8,17"	"-"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	"Latrová"	"Libuše"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	1	"Sdruž.nezáv.kand.I."	5	""	36	"NK"	"BEZPP"	214	11.26	5	"*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"50"	"Øezáèová"	"Anna"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	3	"Budoucnost pro Pøílepy"	5	"PaeDr. "	45	"NK"	"BEZPP"	152	10.46	3	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"51"	"Øièaøová"	"Pavla"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	3	"Budoucnost pro Pøílepy"	3	"Ing. "	44	"NK"	"BEZPP"	155	10.66	1	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"52"	"Zavázal"	"Václav"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	3	"Budoucnost pro Pøílepy"	7	""	49	"NK"	"BEZPP"	136	9.35	4	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"53"	"Zeman"	"Jan"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	3	"Budoucnost pro Pøílepy"	1	"Ing. "	46	"NK"	"BEZPP"	172	11.83	3	"*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"54"	"Žac"	"Ondøej"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	1	"Sdruž.nezáv.kand.I."	6	""	35	"NK"	"BEZPP"	171	9	1	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
