	candid_surname	candid_name	term_1994	list_id_1994	list_name_1994	candid_num_1994	candid_title_1994	candid_age_1994	party_abb_1994	aff_abb_1994	votes_num_1994	votes_share_1994	candid_order_1994	candid_seat_1994	term_1998	list_id_1998	list_name_1998	candid_num_1998	candid_title_1998	candid_age_1998	party_abb_1998	aff_abb_1998	votes_num_1998	votes_share_1998	candid_order_1998	candid_seat_1998	term_2002	list_id_2002	list_name_2002	candid_num_2002	candid_title_2002	candid_age_2002	party_abb_2002	aff_abb_2002	votes_num_2002	votes_share_2002	candid_order_2002	candid_seat_2002	term_2006	list_id_2006	list_name_2006	candid_num_2006	candid_title_2006	candid_age_2006	party_abb_2006	aff_abb_2006	votes_num_2006	votes_share_2006	candid_order_2006	candid_seat_2006	term_2010	list_id_2010	list_name_2010	candid_num_2010	candid_title_2010	candid_age_2010	party_abb_2010	aff_abb_2010	votes_num_2010	votes_share_2010	candid_order_2010	candid_seat_2010
16	Himmer	Miloslav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	1	Sdruž.nezáv.kand. Doubice 2006	2		48	NK	BEZPP	40	13.37	3	*	2006	2	Miloslav Himmer, NK	1		53	NK	BEZPP	23	100	-	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	Hladký	Milan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	1	Doubice 2010	3		54	NK	BEZPP	23	13,69	2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	Ivanová	Jana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	3	Sdruž.nez.kand.Doubice normál.	8		30	NK	BEZPP	0	0	4	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	Jašíèková	Alena	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	1	Sdruž.nezáv.kand. Doubice 2006	6		35	NK	BEZPP	31	10.36	6	*	2006	3	Sdruž.nez.kand.Doubice normál.	5		39	NK	BEZPP	34	13,99	4	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	Jemelka	Bøetislav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	3	Sdruž.nez.kand.Doubice normál.	3		28	NK	BEZPP	39	16,04	1	*	2010	1	Sdruž.nezáv.kand.-Doubice 2014 	2		31	NK	BEZPP	60	16,52	1	*
8	Kleinhampl	Tomáš	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	2	Sdruž.nezáv.kand.-míst.celkem	2	NA	50	NK	BEZPP	9	45	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	4	Pro Doubici	2		59	NK	BEZPP	18	26,08	1	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	Kleinhamplová	Rùžena	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	1	Sdruž.nezáv.kand. Doubice 2006	8		53	NK	BEZPP	17	5.68	1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	Kunert	Waldemar	1994	1	Sdružení nezávislých kandidátù	6	64	NK	BEZPP	45	16.54	1	*	NA	1998	3	Sdruž.nezáv.kand.-míst.celkem	5	NA	68	NK	BEZPP	43	28.1	1	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	Lipman	Rudolf	1994	1	Sdružení nezávislých kandidátù	3	58	NK	BEZPP	40	14.7	5	*	NA	1998	3	Sdruž.nezáv.kand.-míst.celkem	3	NA	62	NK	BEZPP	19	12.41	2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	Lipmann	Rudolf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	1	Sdruž.nezáv.kand.-míst.celkem	4	NA	38	NK	BEZPP	12	13.63	2		2006	1	Sdruž.nezáv.kand. Doubice 2006	9		42	NK	BEZPP	30	10.3	2		2006	4	Pro Doubici	5		46	NK	BEZPP	4	5,79	4	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	Lipmanová	Ivona	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	4	Pro Doubici	3		41	NK	BEZPP	9	13,04	2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
